File,IOU,Dice Score,Pixel Wise Accuracy
malignant (1)_mask_prediction.png,0.7549602441316537,0.8603730445246691,0.9135723383810921
malignant (10)_mask_prediction.png,0.6649779375714986,0.7987828818217511,0.988709339854378
malignant (100)_mask_prediction.png,0.616423857551986,0.7627007664753688,0.9767625182927749
malignant (101)_mask_prediction.png,0.6302278334058917,0.7731776141856346,0.9483769147705516
malignant (102)_mask_prediction.png,0.576915283298262,0.7317010487609596,0.9462212412525064
malignant (103)_mask_prediction.png,0.703395715735679,0.8258747033796427,0.9384987446462856
malignant (104)_mask_prediction.png,0.6972439240584609,0.8216189955668913,0.9463343515690086
malignant (105)_mask_prediction.png,0.6754869533259831,0.8063171748190393,0.9897978047371462
malignant (106)_mask_prediction.png,0.6288066213845531,0.772107152720243,0.9729873054739006
malignant (107)_mask_prediction.png,0.582084009303962,0.7358446275682287,0.9182383443465492
malignant (108)_mask_prediction.png,0.7611367828898102,0.864369866423297,0.9568297352611078
malignant (109)_mask_prediction.png,0.7979542133463224,0.8876246207195492,0.9840456629434752
malignant (11)_mask_prediction.png,0.6866924593035988,0.8142473816324765,0.9768129095692668
malignant (110)_mask_prediction.png,0.8506974716652136,0.9193263455423389,0.9947667978150426
malignant (111)_mask_prediction.png,0.7565480761027216,0.8614032105301503,0.9423156617981503
malignant (112)_mask_prediction.png,0.7328042328042328,0.8458015267175573,0.9945316518356092
malignant (113)_mask_prediction.png,0.6040929762506316,0.7531894786580564,0.9738171489041745
malignant (114)_mask_prediction.png,0.6253794778384942,0.76951811729548,0.9297266514806378
malignant (115)_mask_prediction.png,0.731158930811541,0.8447045707915273,0.9781041976123673
malignant (116)_mask_prediction.png,0.7108732541443675,0.8310063324940872,0.9824615579520801
malignant (117)_mask_prediction.png,0.7158557720759183,0.8344008671659441,0.9746506067714029
malignant (118)_mask_prediction.png,0.8278207981941875,0.9058008301602003,0.9793398689368233
malignant (119)_mask_prediction.png,0.7965498954986431,0.8867551048756772,0.9753436465090959
malignant (12)_mask_prediction.png,0.7922378199834847,0.8840766678953188,0.9933002428528823
malignant (120)_mask_prediction.png,0.8755928333040576,0.9336704830137436,0.9786253206579146
malignant (121)_mask_prediction.png,0.6405427859318749,0.7808912896691425,0.9951478812165435
malignant (122)_mask_prediction.png,0.7717897050741894,0.8711978660490891,0.9518471849658702
malignant (123)_mask_prediction.png,0.6439804501778768,0.7834405209723739,0.930935288919848
malignant (124)_mask_prediction.png,0.7833233073952612,0.8784983677910773,0.9585261672176206
malignant (125)_mask_prediction.png,0.5926906779661016,0.7442633854339874,0.9792166174398178
malignant (126)_mask_prediction.png,0.5757447558610964,0.7307589045999642,0.9548011988912509
malignant (127)_mask_prediction.png,0.6700676264756474,0.8024437044979965,0.8978791061322131
malignant (128)_mask_prediction.png,0.6144473293768546,0.7611859714420283,0.8578529914529914
malignant (129)_mask_prediction.png,0.5841243360371244,0.737472839409034,0.8335584531200835
malignant (13)_mask_prediction.png,0.7896595208070618,0.8824689966178129,0.9818620734651269
malignant (130)_mask_prediction.png,0.8304288399111567,0.9073598730573575,0.9768256377327652
malignant (131)_mask_prediction.png,0.827762202573503,0.9057657515928577,0.9913950381405238
malignant (132)_mask_prediction.png,0.7304930250109076,0.844260005042555,0.9127774957924826
malignant (133)_mask_prediction.png,0.7441526576880632,0.8533113823585421,0.897212836020059
malignant (134)_mask_prediction.png,0.5648114243866715,0.7218907218907219,0.9725363178408023
malignant (135)_mask_prediction.png,0.7279878734025037,0.8425844701896609,0.9804633753986444
malignant (136)_mask_prediction.png,0.5822381521306252,0.7359677825320916,0.9670384917517675
malignant (137)_mask_prediction.png,0.5967130214917825,0.7474267616785432,0.7051793333080127
malignant (138)_mask_prediction.png,0.7468203835368099,0.8550625932412272,0.9655770030656418
malignant (139)_mask_prediction.png,0.7093115106322475,0.8299382601944619,0.9646461152997778
malignant (14)_mask_prediction.png,0.6325383397915189,0.7749139170260422,0.9380326541130561
malignant (140)_mask_prediction.png,0.7566786758208144,0.8614878591467544,0.9716809468429339
malignant (141)_mask_prediction.png,0.681723779854621,0.8107440568076567,0.9831852095676981
malignant (142)_mask_prediction.png,0.6429343946702429,0.782665938160346,0.8723021582733813
malignant (143)_mask_prediction.png,0.5556367177988799,0.7143527938644545,0.9791392015362692
malignant (144)_mask_prediction.png,0.7905563069423183,0.8830287032886764,0.9448842302878598
malignant (145)_mask_prediction.png,0.6528081692195478,0.7899382171226832,0.9943801652892562
malignant (146)_mask_prediction.png,0.781227377086479,0.8771787219712717,0.9574194847020934
malignant (147)_mask_prediction.png,0.62643539709307,0.770316974424805,0.9821071417582079
malignant (148)_mask_prediction.png,0.6488282616299406,0.787017394993636,0.9960998803548954
malignant (149)_mask_prediction.png,0.7469012162907487,0.855115571877233,0.980022271306675
malignant (15)_mask_prediction.png,0.6860134629768138,0.8137698518321356,0.9123456618271413
malignant (150)_mask_prediction.png,0.8053897489089379,0.8922059620596205,0.9228821478841837
malignant (151)_mask_prediction.png,0.6204753118959762,0.7657942177101265,0.9278752436647173
malignant (152)_mask_prediction.png,0.6067511468230772,0.7552521720899544,0.9108916448148281
malignant (153)_mask_prediction.png,0.6677617359730267,0.800787932196361,0.8823421354764638
malignant (154)_mask_prediction.png,0.7299582409650976,0.8439027297651687,0.9390892458447035
malignant (155)_mask_prediction.png,0.6713611506479886,0.8033705347138183,0.9509534652321521
malignant (156)_mask_prediction.png,0.7988529327815042,0.8881803711949542,0.9121962045523567
malignant (157)_mask_prediction.png,0.7127320457528595,0.832275016422159,0.9942328831067142
