File,IOU,Dice Score,Pixel Wise Accuracy
benign (1)_mask_prediction.png,0.8388245770258237,0.9123486682808717,0.9993162121933344
benign (10)_mask_prediction.png,0.9415670650730412,0.9699042407660738,0.9951546095030722
benign (100)_mask_prediction.png,0.8269150563047407,0.9052583517236131,0.9918509742831149
benign (101)_mask_prediction.png,0.8661549532261933,0.9282776349614396,0.997904610982392
benign (102)_mask_prediction.png,0.925291259599812,0.961196135894931,0.9963024254020789
benign (103)_mask_prediction.png,0.8792809238461844,0.9357631556719318,0.9864229765013055
benign (104)_mask_prediction.png,0.8115355426258538,0.8959642508029605,0.99834114886018
benign (105)_mask_prediction.png,0.8593593034936935,0.9243606675471245,0.9975411851487583
benign (106)_mask_prediction.png,0.8489090160559901,0.9182810064573592,0.996828156977709
benign (107)_mask_prediction.png,0.8683870967741936,0.9295580110497238,0.9971639032903855
benign (108)_mask_prediction.png,0.6981947897524592,0.8222788033099936,0.9875234047877594
benign (109)_mask_prediction.png,0.8162171448204776,0.8988100868315014,0.9797493753312637
benign (11)_mask_prediction.png,0.8722976370035194,0.9317937701396348,0.9993719757790344
benign (110)_mask_prediction.png,0.8728952230139878,0.9321346034609097,0.9814583814583815
benign (111)_mask_prediction.png,0.8465719063545151,0.9169119311750057,0.9975574856078001
benign (112)_mask_prediction.png,0.819152995040061,0.9005872483221476,0.9976242030554553
benign (113)_mask_prediction.png,0.9133271633503008,0.9547004619440347,0.9966728839150901
benign (114)_mask_prediction.png,0.6755850530609423,0.8063870608379923,0.9784389179254495
benign (115)_mask_prediction.png,0.7893789378937894,0.8822937625754527,0.9963975891558197
benign (116)_mask_prediction.png,0.8056136680613668,0.8923433426667954,0.9975244667057424
benign (117)_mask_prediction.png,0.7760082577600825,0.8738791099302557,0.9945214669051878
benign (118)_mask_prediction.png,0.8124909851435165,0.8965462358745822,0.9967890134861433
benign (119)_mask_prediction.png,0.7633492992726628,0.86579476861167,0.9970074253538821
benign (12)_mask_prediction.png,0.7290877796901893,0.843320724666534,0.9979671331669844
benign (120)_mask_prediction.png,0.7735480722303563,0.872317006053935,0.9991737303226725
benign (121)_mask_prediction.png,0.8961803242282923,0.9452479943784037,0.9952545297670405
benign (122)_mask_prediction.png,0.7362065762585919,0.8480633426064627,0.9904612201577258
benign (123)_mask_prediction.png,0.8124672603457308,0.8965317919075144,0.9891317547055252
benign (124)_mask_prediction.png,0.809396144516788,0.8946588583927185,0.9962300835795268
benign (125)_mask_prediction.png,0.7703763332662508,0.8702966920541093,0.9973888248109701
benign (126)_mask_prediction.png,0.7267778753292362,0.8417734390888754,0.9964593715156893
benign (127)_mask_prediction.png,0.8889399862037249,0.9412051125989045,0.9981815306767868
benign (128)_mask_prediction.png,0.7727618564544763,0.8718168812589413,0.9965640878151664
benign (129)_mask_prediction.png,0.8076093653727665,0.8935662547933532,0.9972544924987635
benign (13)_mask_prediction.png,0.9223832895788152,0.9596247476546729,0.9894611223904655
benign (130)_mask_prediction.png,0.9271979843522079,0.9622239042179866,0.9958486457057303
benign (131)_mask_prediction.png,0.7490679470071125,0.8565338451131841,0.9285672325677026
benign (132)_mask_prediction.png,0.8498304039469627,0.9188198033005501,0.9963468058931197
benign (133)_mask_prediction.png,0.757071547420965,0.8617424242424242,0.9976861756921663
benign (134)_mask_prediction.png,0.8112324492979719,0.8957795004306632,0.9981443140863431
benign (135)_mask_prediction.png,0.7858387040585264,0.8800780297488418,0.9945553016615297
benign (136)_mask_prediction.png,0.8193532552003436,0.90070826306914,0.99428089656271
benign (137)_mask_prediction.png,0.8562456385205862,0.9225563909774436,0.9981652438399843
benign (138)_mask_prediction.png,0.8741529525653436,0.9328512396694215,0.9994342906875544
benign (139)_mask_prediction.png,0.8999808575803981,0.9473578157271674,0.9960339147728136
benign (14)_mask_prediction.png,0.7858974358974359,0.8801148600143575,0.9973004211019778
benign (140)_mask_prediction.png,0.8590964168253419,0.9242085661080075,0.9725753560037734
benign (141)_mask_prediction.png,0.7800513252832808,0.8764368916824822,0.867133233729129
benign (142)_mask_prediction.png,0.8624385886556498,0.9261390887290167,0.9986516952305907
benign (143)_mask_prediction.png,0.9154228855721394,0.9558441558441558,0.9995400397343827
benign (144)_mask_prediction.png,0.8555643251775849,0.9221607826456827,0.999590237348858
benign (145)_mask_prediction.png,0.7915267970829957,0.8836337791561673,0.9959722327830284
benign (146)_mask_prediction.png,0.7857142857142857,0.88,0.9987739308452004
benign (147)_mask_prediction.png,0.5443069306930693,0.7049206603622375,0.9929499257080711
benign (148)_mask_prediction.png,0.9235179957657021,0.9602384774134373,0.9966974070645777
benign (149)_mask_prediction.png,0.8998575654651035,0.9472895040369089,0.9964937316822415
benign (15)_mask_prediction.png,0.8839147885149737,0.938380858734841,0.9989802726143532
benign (150)_mask_prediction.png,0.8732894069944247,0.9323593073593074,0.9993463539624022
benign (151)_mask_prediction.png,0.8462199312714777,0.9167054443927408,0.9986369174535485
benign (152)_mask_prediction.png,0.7408332387331139,0.8511248777306815,0.9388649796293108
benign (153)_mask_prediction.png,0.8515875847306458,0.9198458574181118,0.9990612193316604
benign (154)_mask_prediction.png,0.7918660287081339,0.8838451268357811,0.9983138489208633
benign (155)_mask_prediction.png,0.8124949276891363,0.8965486361112603,0.9746938042318654
benign (156)_mask_prediction.png,0.799136956745094,0.8883558905830621,0.9962064395446175
benign (157)_mask_prediction.png,0.8536365277025808,0.921039820854834,0.9938480210881645
benign (158)_mask_prediction.png,0.9079217403201533,0.951738974542847,0.9869565554452989
