File,IOU,Dice Score,Pixel Wise Accuracy
malignant (1)_mask_prediction.png,0.6753488372093023,0.8062187673514714,0.8895166516450529
malignant (10)_mask_prediction.png,0.08831596269884805,0.1622983870967742,0.9725389114702092
malignant (100)_mask_prediction.png,0.355373451770299,0.5243919324318087,0.961132567928428
malignant (101)_mask_prediction.png,0.604435073433183,0.7534553232369922,0.9448882387858921
malignant (102)_mask_prediction.png,0.5132010111412789,0.6782985305491106,0.9381890013393671
malignant (103)_mask_prediction.png,0.390625831515087,0.5617986127720641,0.8308853935903117
malignant (104)_mask_prediction.png,0.4630621651924754,0.6330040871934605,0.9055087037226501
malignant (105)_mask_prediction.png,0.03936455739052639,0.07574735372804467,0.38796071634893126
malignant (106)_mask_prediction.png,0.07535777095761922,0.14015385947415848,0.12226092194077634
malignant (107)_mask_prediction.png,0.12298508156521537,0.21903244056243187,0.13427710474791973
malignant (108)_mask_prediction.png,0.167742872424456,0.28729419187323313,0.2243942694923087
malignant (109)_mask_prediction.png,0.07207806872615326,0.13446421641997894,0.09919920612941936
malignant (11)_mask_prediction.png,0.3807502382396257,0.5515121094240181,0.9613836620692263
malignant (110)_mask_prediction.png,0.7681979582778518,0.8689049262629432,0.9920203216318423
malignant (111)_mask_prediction.png,0.1966028562433226,0.32860168303550247,0.2133269318239248
malignant (112)_mask_prediction.png,0.000774593338497289,0.0015479876160990713,0.9800447832190549
malignant (113)_mask_prediction.png,0.34714680872861386,0.5153808129586677,0.9645075050822913
malignant (114)_mask_prediction.png,0.5582392453908818,0.7165000458589379,0.9171646790834785
malignant (115)_mask_prediction.png,0.1631835513296974,0.2805809128630705,0.9318683736904565
malignant (116)_mask_prediction.png,0.2831800738541742,0.44137230560884777,0.9608057389899758
malignant (117)_mask_prediction.png,0.584989551376106,0.7381620287253142,0.9648004706343759
malignant (118)_mask_prediction.png,0.7999873987965851,0.8888811103138071,0.976115955549871
malignant (119)_mask_prediction.png,0.031859379291403464,0.061751397391535796,0.8933901918976546
malignant (12)_mask_prediction.png,0.6227125021378485,0.767495784148398,0.9882514592475822
malignant (120)_mask_prediction.png,0.5120703401842664,0.67731021047852,0.9168892409838539
malignant (121)_mask_prediction.png,0.049888517279821624,0.09503583753650119,0.9872566464308143
malignant (122)_mask_prediction.png,0.6948676231326727,0.8199668382930447,0.9362085359348788
malignant (123)_mask_prediction.png,0.5297911956377178,0.6926320365138013,0.9087865946866354
malignant (124)_mask_prediction.png,0.11793935929289154,0.2109941980529059,0.850993574267355
malignant (125)_mask_prediction.png,0.46126180128877564,0.6313198646292688,0.9722399181482982
malignant (126)_mask_prediction.png,0.1234546476266032,0.21977682479201455,0.6016127941828234
malignant (127)_mask_prediction.png,0.30686490364396507,0.4696199320807005,0.4891293249314429
malignant (128)_mask_prediction.png,0.32842863942340383,0.4944618471428864,0.4934974358974359
malignant (129)_mask_prediction.png,0.382486655534213,0.5533314249408282,0.7545107098180367
malignant (13)_mask_prediction.png,0.5998629881048764,0.7498929502900074,0.9650670929296884
malignant (130)_mask_prediction.png,0.11331237807911924,0.20355900160676474,0.12617282509291147
malignant (131)_mask_prediction.png,0.05420034642032333,0.10282741151502704,0.9529348809814541
malignant (132)_mask_prediction.png,0.7179432749572499,0.8358172070321885,0.9087245402261565
malignant (133)_mask_prediction.png,0.7002952810741545,0.8237337230410308,0.884221853948303
malignant (134)_mask_prediction.png,0.05735676277688405,0.10849084206214524,0.9413253123411335
malignant (135)_mask_prediction.png,0.7244073909520947,0.84018126430336,0.9802062157550638
malignant (136)_mask_prediction.png,0.5370258880192655,0.6987857422640031,0.9637549096622152
malignant (137)_mask_prediction.png,0.4436683482085112,0.6146402652092107,0.4554800156987859
malignant (138)_mask_prediction.png,0.12249470393208432,0.21825439978110717,0.14172430791983115
malignant (139)_mask_prediction.png,0.15267465006793263,0.2649050190510129,0.896947268912407
malignant (14)_mask_prediction.png,0.506402154201242,0.6723332846928353,0.917333922359048
malignant (140)_mask_prediction.png,0.528305096278152,0.6913607728780358,0.9451538382423912
malignant (141)_mask_prediction.png,0.30510492632832265,0.4675561637586954,0.9634079438226903
malignant (142)_mask_prediction.png,0.6093161873137329,0.7572361380777537,0.8534656146050901
malignant (143)_mask_prediction.png,0.5433000568135703,0.7040757296870891,0.9785600524282351
malignant (144)_mask_prediction.png,0.7884071841959652,0.8816864427330273,0.9446612953692115
malignant (145)_mask_prediction.png,0.6162451361867705,0.7625639482395425,0.9937898465171192
malignant (146)_mask_prediction.png,0.7711548806223363,0.8707932762507739,0.9554710144927536
malignant (147)_mask_prediction.png,0.09071267173558081,0.1663365138890989,0.5759023354564756
malignant (148)_mask_prediction.png,0.6446309898565932,0.7839217354317312,0.9960532653790575
malignant (149)_mask_prediction.png,0.668367049495715,0.8012230278675636,0.9739320312714808
malignant (15)_mask_prediction.png,0.15819532923919197,0.2731755607115236,0.18238700427344479
malignant (150)_mask_prediction.png,0.7762295242382136,0.8740193918025562,0.9113268784098708
malignant (151)_mask_prediction.png,0.5358776970616936,0.6978129809253534,0.9106611401213002
malignant (152)_mask_prediction.png,0.48839012229324535,0.6562662772052741,0.8488810661302489
malignant (153)_mask_prediction.png,0.6112075055036245,0.758694958179922,0.855361653272101
malignant (154)_mask_prediction.png,0.5208086225568562,0.6849101390301797,0.8919467873976681
malignant (155)_mask_prediction.png,0.5885753145188711,0.7410102739726028,0.9413796830105428
malignant (156)_mask_prediction.png,0.13777818565594457,0.24218813015212376,0.63419173473917
malignant (157)_mask_prediction.png,0.4356211003970505,0.6068747530620309,0.9887631567059674
